model,sample_id,dataset,image_name,processing_time,text_similarity,text_precision,text_recall,text_f1,text_predicted_length,text_ground_truth_length,detection_precision,detection_recall,detection_f1,avg_iou
tesseract,3,French,8_5eeab_default.jpg,7.576691627502441,0.3869513327144941,0.7,0.7387862796833773,0.7188703465982028,3847,3777,,,,
tesseract,4,French,10_10fe5_default.jpg,7.663379669189453,0.8084944048830112,0.7417721518987341,0.7532133676092545,0.7474489795918368,3987,3945,,,,
tesseract,5,French,16_e8fb7_default.jpg,7.9973368644714355,0.3721973094170404,0.7866323907455013,0.8571428571428571,0.8203753351206434,4326,4223,,,,
tesseract,6,French,17_24e64_default.jpg,10.602802515029907,0.5287707505855993,0.756701030927835,0.8321995464852607,0.792656587473002,5019,4850,,,,
tesseract,7,French,11_ef202_default.jpg,7.341785669326782,0.604645059703451,0.7089552238805971,0.7460732984293194,0.7270408163265307,3878,3822,,,,
tesseract,8,French,5_1df9d_default.jpg,7.462094306945801,0.6893353941267388,0.706855791962175,0.7512562814070352,0.7283800243605358,4005,3884,,,,
tesseract,9,French,18_ac1da_default.jpg,8.84999704360962,0.22845231891610213,0.7865168539325843,0.8274231678486997,0.8064516129032258,4871,4798,,,,
tesseract,10,English,0060080406.png,0.9079375267028809,0.16343882853094002,0.5615384615384615,0.5140845070422535,0.5367647058823529,1031,1139,,,,
tesseract,11,English,0001477983.png,1.3160622119903564,0.15770996489332972,0.732620320855615,0.791907514450867,0.7611111111111112,1908,1853,,,,
tesseract,12,English,88547278_88547279.png,0.8617734909057617,0.411665731912507,0.39080459770114945,0.5666666666666667,0.4625850340136055,1002,827,,,,
tesseract,13,English,92094746.png,1.0181403160095215,0.0914470145239376,0.591304347826087,0.6017699115044248,0.5964912280701754,978,914,,,,
tesseract,14,English,0001239897.png,0.6611249446868896,0.14024835646457268,0.17105263157894737,0.14606741573033707,0.1575757575757576,589,788,,,,
tesseract,15,English,00836816.png,0.7957038879394531,0.2924944812362031,0.7291666666666666,0.5785123966942148,0.6451612903225806,838,1027,,,,
tesseract,16,English,00860012_00860014.png,2.4115309715270996,0.34552845528455284,0.5102040816326531,0.49019607843137253,0.5,1333,1282,,,,
tesseract,17,English,71108371.png,1.0814223289489746,0.14297729184188393,0.75,0.8313253012048193,0.7885714285714285,1905,1793,,,,
tesseract,18,English,01122115.png,1.2071866989135742,0.15614739146296971,0.672316384180791,0.6363636363636364,0.6538461538461539,1438,1373,,,,
tesseract,19,English,00836244.png,0.7630765438079834,0.07049608355091384,0.3958333333333333,0.2620689655172414,0.3153526970954357,663,960,,,,
